,Title,Salary
158,Perth WA,
159,Cyber Security Analyst,"$110,768 - $122,472 PA+super+financial benefits"
160,Cyber Security Analyst,
161,Toowoomba,"$110,768 - $122,472 PA+super+financial benefits"
162,Cyber Security Analyst,
163,Cyber Security Analyst,
164,Canberra ACT,
165,Cyber Security Analyst,$100k - $160k p.a. + Base Salary
166,Cyber Security Analyst,
167,Canberra ACT,$100k - $160k p.a. + Base Salary
168,Cyber security specialist,$52 - $55 p.h. + super
169,Cyber security specialist,
170,Cloverdale,$52 - $55 p.h. + super
171,Expressions of Interest - Cyber TSPV Professionals,110-160
172,Expressions of Interest - Cyber TSPV Professionals,
173,Canberra ACT,110-160
174,IT Cyber Security Officer,Top $'s Paid ! Contract extensions likely !
175,IT Cyber Security Officer,
176,Belmont,Top $'s Paid ! Contract extensions likely !
177,Cyber Security GRC Specialist - Remote,
178,Cyber Security GRC Specialist - Remote,
179,Perth WA,
180,Cyber Security Administrator,"12% Superannuation, flexible work options"
181,Cyber Security Administrator,
182,South Perth,"12% Superannuation, flexible work options"
183,Cyber Security Operations Analyst,
184,Cyber Security Operations Analyst,
185,Cleveland,
186,Cyber Security Uplift Technician,"90,000 - 150,000"
187,Cyber Security Uplift Technician,
188,Canberra ACT,"90,000 - 150,000"
189,Cyber Security Officer,$50 - $65 p.h.
190,Cyber Security Officer,
191,Belmont,$50 - $65 p.h.
192,Cyber Security GRC Specialist,
193,Cyber Security GRC Specialist,
194,Sydney NSW,
195,Cyber Security GRC Specialist,Up to $150000.00 p.a. + + bonus + benefits
196,Cyber Security GRC Specialist,
197,Brisbane QLD,Up to $150000.00 p.a. + + bonus + benefits
198,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,"$85,794 – $97,459 per year"
199,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,
200,Canberra ACT,"$85,794 – $97,459 per year"
201,"Head of IT, Cyber Security","Total remuneration package is up to $167,368 p.a"
202,"Head of IT, Cyber Security",
203,Bilinga,"Total remuneration package is up to $167,368 p.a"
204,Penetration Tester,
205,Penetration Tester,
206,Melbourne VIC,
207,Sign in,
208,Sign in,
209,All Perth WA,
210,Senior Cyber Security Analyst,
211,Senior Cyber Security Analyst,
212,Perth WA,
213,Project Manager - Electronic Security,
214,Project Manager - Electronic Security,
215,Brisbane QLD,
216,Cyber Security Analyst,"$97,521 - $109,117 plus superannuation"
217,Cyber Security Analyst,
218,Bendigo,"$97,521 - $109,117 plus superannuation"
219,Junior Cyber Security Analyst,
220,Junior Cyber Security Analyst,
221,Perth WA,
222,Graduate (Network & Cyber Security),"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
223,Graduate (Network & Cyber Security),
224,East Perth,"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
225,Cyber Security Analyst,
226,Cyber Security Analyst,
227,Perth WA,
228,Cyber Security Analyst,"$110,768 - $122,472 PA+super+financial benefits"
229,Cyber Security Analyst,
230,Toowoomba,"$110,768 - $122,472 PA+super+financial benefits"
231,Cyber Security Analyst,
232,Cyber Security Analyst,
233,Canberra ACT,
234,Cyber Security Analyst,$100k - $160k p.a. + Base Salary
235,Cyber Security Analyst,
236,Canberra ACT,$100k - $160k p.a. + Base Salary
237,Cyber security specialist,$52 - $55 p.h. + super
238,Cyber security specialist,
239,Cloverdale,$52 - $55 p.h. + super
240,Expressions of Interest - Cyber TSPV Professionals,110-160
241,Expressions of Interest - Cyber TSPV Professionals,
242,Canberra ACT,110-160
243,IT Cyber Security Officer,Top $'s Paid ! Contract extensions likely !
244,IT Cyber Security Officer,
245,Belmont,Top $'s Paid ! Contract extensions likely !
246,Cyber Security GRC Specialist - Remote,
247,Cyber Security GRC Specialist - Remote,
248,Perth WA,
249,Cyber Security Administrator,"12% Superannuation, flexible work options"
250,Cyber Security Administrator,
251,South Perth,"12% Superannuation, flexible work options"
252,Cyber Security Operations Analyst,
253,Cyber Security Operations Analyst,
254,Cleveland,
255,Cyber Security Uplift Technician,"90,000 - 150,000"
256,Cyber Security Uplift Technician,
257,Canberra ACT,"90,000 - 150,000"
258,Cyber Security Officer,$50 - $65 p.h.
259,Cyber Security Officer,
260,Belmont,$50 - $65 p.h.
261,Cyber Security GRC Specialist,
262,Cyber Security GRC Specialist,
263,Sydney NSW,
264,Cyber Security GRC Specialist,Up to $150000.00 p.a. + + bonus + benefits
265,Cyber Security GRC Specialist,
266,Brisbane QLD,Up to $150000.00 p.a. + + bonus + benefits
267,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,"$85,794 – $97,459 per year"
268,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,
269,Canberra ACT,"$85,794 – $97,459 per year"
270,"Head of IT, Cyber Security","Total remuneration package is up to $167,368 p.a"
271,"Head of IT, Cyber Security",
272,Bilinga,"Total remuneration package is up to $167,368 p.a"
273,Penetration Tester,
274,Penetration Tester,
275,Melbourne VIC,
276,Sign in,
277,Sign in,
278,All Perth WA,
279,Senior Cyber Security Analyst,
280,Senior Cyber Security Analyst,
281,Perth WA,
282,Project Manager - Electronic Security,
283,Project Manager - Electronic Security,
284,Brisbane QLD,
285,Cyber Security Analyst,"$97,521 - $109,117 plus superannuation"
286,Cyber Security Analyst,
287,Bendigo,"$97,521 - $109,117 plus superannuation"
288,Junior Cyber Security Analyst,
289,Junior Cyber Security Analyst,
290,Perth WA,
291,Graduate (Network & Cyber Security),"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
292,Graduate (Network & Cyber Security),
293,East Perth,"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
294,Cyber Security Analyst,
295,Cyber Security Analyst,
296,Perth WA,
297,Cyber Security Analyst,"$110,768 - $122,472 PA+super+financial benefits"
298,Cyber Security Analyst,
299,Toowoomba,"$110,768 - $122,472 PA+super+financial benefits"
300,Cyber Security Analyst,
301,Cyber Security Analyst,
302,Canberra ACT,
303,Cyber Security Analyst,$100k - $160k p.a. + Base Salary
304,Cyber Security Analyst,
305,Canberra ACT,$100k - $160k p.a. + Base Salary
306,Cyber security specialist,$52 - $55 p.h. + super
307,Cyber security specialist,
308,Cloverdale,$52 - $55 p.h. + super
309,Expressions of Interest - Cyber TSPV Professionals,110-160
310,Expressions of Interest - Cyber TSPV Professionals,
311,Canberra ACT,110-160
312,IT Cyber Security Officer,Top $'s Paid ! Contract extensions likely !
313,IT Cyber Security Officer,
314,Belmont,Top $'s Paid ! Contract extensions likely !
315,Cyber Security GRC Specialist - Remote,
316,Cyber Security GRC Specialist - Remote,
317,Perth WA,
318,Cyber Security Administrator,"12% Superannuation, flexible work options"
319,Cyber Security Administrator,
320,South Perth,"12% Superannuation, flexible work options"
321,Cyber Security Operations Analyst,
322,Cyber Security Operations Analyst,
323,Cleveland,
324,Cyber Security Uplift Technician,"90,000 - 150,000"
325,Cyber Security Uplift Technician,
326,Canberra ACT,"90,000 - 150,000"
327,Cyber Security Officer,$50 - $65 p.h.
328,Cyber Security Officer,
329,Belmont,$50 - $65 p.h.
330,Cyber Security GRC Specialist,
331,Cyber Security GRC Specialist,
332,Sydney NSW,
333,Cyber Security GRC Specialist,Up to $150000.00 p.a. + + bonus + benefits
